id,title,summary,installs,score,ratings,reviews,size,androidVersion,androidVersionText,genre,genreId,icon,contentRating,contentRatingDescription,released,updated,version
com.gameloft.android.ANMP.GloftA3HM,Brothers in Arms™ 3,Multiplayer shooting action combat World War 2 game,10-000-000+,4.456277,1488609,27230,47M,4.1,4.1 and up,Arcade,GAME_ARCADE,https://play-lh.googleusercontent.com/C6L1PagB8UvhV4A67gumcVWQGSVAq86-iZCSHAIelrNTBDV1iSeBQQymZm07PzEZxYI,Mature 17+,Violence- Blood- Language,Dec 17- 2014,1644483187,1.5.4a
com.gameloft.android.ANMP.GloftHFHM,Iron Blade: Medieval Legends,Medieval RPG game with demons- darkness and war. Make a hero and grab the sword,10-000-000+,4.202603,345286,9644,43M,4.4,4.4 and up,Action,GAME_ACTION,https://play-lh.googleusercontent.com/IONnazh4MccFXHuemCZM-b5ow-qJ5vIhgMQosDCUUk-5gfBNThjYYq835rmIRXjhJb8,Mature 17+,Intense Violence- Blood and Gore,May 24- 2017,1601371420,2.3.0h
com.gameloft.android.ANMP.GloftDOHM,Dragon Mania Legends,Magical dragon game. Merge or collect dragons in a city and fight battles,100-000-000+,4.4488373,2955018,83040,Varies with device,5.0,5.0 and up,Adventure,GAME_ADVENTURE,https://play-lh.googleusercontent.com/-vHD469Np3ovlU0_QQql2kUfDGjFFzEOcI76dMKz_KUkUqS1LgUJx343xDkM9BLjhQ,Everyone,Mild Fantasy Violence,Jan 7- 2015,1650375998,Varies with device
com.gameloft.android.ANMP.GloftMVHM,Modern Combat Versus: FPS game,PVP warfare online multiplayer FPS game,10-000-000+,3.9664059,230531,11424,57M,5.0,5.0 and up,Role Playing,GAME_ROLE_PLAYING,https://play-lh.googleusercontent.com/gzHS8fbWAbLqyCaSX0p2rSU0pQNRitznJGwbPPP6echhivUTaGVvMkg3EjFo1IJ1x2Y,Teen,Violence- Blood,Sep 27- 2017,1616069308,1.17.32
com.gameloft.android.ANMP.GloftDYHM,Disney Magic Kingdoms,Create a magical Disney Park filled with memorable characters and attractions.,50-000-000+,4.3356824,652243,35802,100M,5.0,5.0 and up,Simulation,GAME_SIMULATION,https://play-lh.googleusercontent.com/byrxM8Nclr90l6nUCU5ZzTfypew9gXGzqfCGLaxzXvFaV7NElQyvD1znpnVp4XH05J8,Everyone,,Mar 17- 2016,1650605937,6.8.0p
com.gameloft.android.ANMP.GloftGF2F,Green Farm 3,Farming simulator- with missions to complete and friends to join,10-000-000+,4.2777777,952773,13100,23M,4.4,4.4 and up,Casual,GAME_CASUAL,https://play-lh.googleusercontent.com/fOHWZWeCWzbSoizBwbvoa5IhZ-qDZcS8jGRNVAyKd-_-zYInv9mmrXm6xlxIvvW3qrQ,Everyone,,Sep 10- 2013,1629858769,4.4.3
com.gameloft.android.ANMP.GloftGLCL,Gameloft Classics: 20 Years,Game collection pack with over 30 Gameloft titles from the last 20 years,5-000-000+,4.1955056,139598,1989,75M,4.1,4.1 and up,Arcade,GAME_ARCADE,https://play-lh.googleusercontent.com/aOzP32jt8dpX1Uh8tOG45c7t_u4g-IqnTgybMlxEf6Qwzg6P8jOnzinJMvLHJ-IVVDn1,Teen,Violence- Blood- Simulated Gambling,Apr 15- 2020,1594888346,1.2.5
com.gameloft.android.ANMP.GloftL2HM,Little Big City 2,Game to uncover island's hidden wonders & use them to build a metropolis,10-000-000+,4.1084085,453349,4678,30M,4.1,4.1 and up,Casual,GAME_CASUAL,https://play-lh.googleusercontent.com/JCgsrOsH2plYp4g6E1sTVY8EIi-eRYpsaDGEMqTwRYAK-F1b72WOGPbBeyxadgCO1Joc,Everyone,,Aug 22- 2016,1594987489,9.4.1
com.gameloft.android.ANMP.GloftKIHM,Total Conquest,Simulation game to rule the Roman Empire,10-000-000+,4.2043133,355774,10513,30M,4.1,4.1 and up,Strategy,GAME_STRATEGY,https://play-lh.googleusercontent.com/N80nrOhGSg46k83-y-Urz84BgwtNHhkmsbxGne97y4y3Mt3yYbcgc8iV9d1l_yM_9A,Everyone 10+,Fantasy Violence,Sep 19- 2013,1610986337,2.1.5a
com.gameloft.android.ANMP.GloftDPMF,Disney Princess Majestic Quest,Match 3 to Solve Disney Princesses Puzzles,5-000-000+,4.5879493,65776,3331,143M,4.1,4.1 and up,Puzzle,GAME_PUZZLE,https://play-lh.googleusercontent.com/dXI6wgw2hzA1y0zl2zUOS7siokh1Zxc8p9S6DDlE19hSnrf5znlGDY_WLGy7-Ghr57Y,Everyone,,Oct 9- 2019,1607609411,1.7.1b
com.gameloft.android.ANMP.GloftGOHM,Gods of Rome,Join fighting warriors in a mortal battle with the gods,10-000-000+,4.310612,543493,14231,35M,4.0.3,4.0.3 and up,Action,GAME_ACTION,https://play-lh.googleusercontent.com/Mh8zVa7hapnki0Sl5WB7K3vuwHrf5SOAWfV9x6BxhX-mmMt5b-DXKwglmNy8sv48z5M,Teen,Violence- Blood- Suggestive Themes- Partial Nudity,Dec 17- 2015,1607333979,1.9.7a
com.gameloft.android.ANMP.GloftSXHM,Six-Guns: Gang Showdown,An adventure game to discover the Wild West,10-000-000+,4.4072905,2095336,94101,27M,4.1,4.1 and up,Action,GAME_ACTION,https://play-lh.googleusercontent.com/BsutsyH6FpINWv2VRQYCwgmVX991fJKGRcgbX4TAePB-yzOKdezXJskwzttfg1xfO28P,Teen,Violence- Blood- Suggestive Themes,Mar 15- 2012,1647831182,2.9.9a
