1520661349503627264 2022-05-01 13:08:12 +0600 <naval> @matthuang Anytime you see a line, the product is mispriced.
1518632589304639488 2022-04-25 22:46:38 +0600 <naval> @nevans1991 @elonmusk They don’t. Easy for Twitter to switch away or self host.
1518629257622163456 2022-04-25 22:33:24 +0600 <naval> If @elonmusk manages to liberate Twitter, efforts to control free speech will move to the Apple / Google level, and then to the national level.
1518003748257382401 2022-04-24 05:07:51 +0600 <naval> @AdamSheheeb @WillManidis Brain is a universal computer. It can describe anything that can be described, anything that is a consequence of the laws of physics. It may not simulate at full fidelity but it can describe the underlying explanations / mechanisms.
1517977562881789952 2022-04-24 03:23:48 +0600 <naval> @WillManidis Poorly defined axiom.
1517977336070647808 2022-04-24 03:22:54 +0600 <naval> @signalclean @pmarca Then learn instead of name calling.
1517976613052305408 2022-04-24 03:20:01 +0600 <naval> @WillManidis It’s a universal explainer with an unknown underlying mechanism. It can simulate any activity that a quantum computer can. In that sense “quantum computer” is much closer than previous analogies.
1517975339040837632 2022-04-24 03:14:58 +0600 <naval> @pmarca “Experts” that don’t suffer direct feedback from nature or free markets (“skin in the game”) are university-credentialed activists.
1517317188700540929 2022-04-22 07:39:42 +0600 <naval> @TheJamesFuller @pmarca Learn about network effects and the Section 230 loophole before speaking so confidently.
1517311652034760705 2022-04-22 07:17:42 +0600 <naval> @BryanKeIIy @arrington Yes, he means do not tolerate the people who shut down the means of error correction (stop the censors).
1517252901118353409 2022-04-22 03:24:15 +0600 <naval> @heyellieday Blocking you so that you can next complain that blocking is censorship.
1517224858651877379 2022-04-22 01:32:49 +0600 <naval> A good scare is a great error-correcting mechanism.
1517214948824342530 2022-04-22 00:53:26 +0600 <naval> @benohanlon @IOHK_Josh @6u2m4n Feel free to rewrite it.
1517209372811800576 2022-04-22 00:31:17 +0600 <naval> (Cue the “useful idiots” who support censorship.)
1517208938902659072 2022-04-22 00:29:34 +0600 <naval> @Davret1 Renaming it is just obfuscation.
1517208099773468673 2022-04-22 00:26:14 +0600 <naval> There’s no such thing as true censorship.   Censorship creates two classes - the censors, who get to see everything, and the rest of us, who only get to see and say what they permit.
1516927498646392834 2022-04-21 05:51:13 +0600 <naval> Don’t follow people. Either walk alongside, or not at all.
1516873613609160711 2022-04-21 02:17:06 +0600 <naval> @tnlscott @pmarca @paulg @balajis @spakhm @garrytan My thought exactly.
1516871894514941953 2022-04-21 02:10:16 +0600 <naval> @pmarca @paulg @balajis @spakhm @garrytan Ex-Twitter employee. 🤦🏽‍♂️
1520661349503627264 2022-05-01 13:08:12 +0600 <naval> @matthuang Anytime you see a line, the product is mispriced.
1520478051800285184 2022-05-01 00:59:51 +0600 <naval> @James11804433 From mask mandates to muzzle mandates.
1520186033115041792 2022-04-30 05:39:28 +0600 <naval> Western society went from White Man’s Burden to White Man’s a Burden in one century.
1519833083003891712 2022-04-29 06:16:58 +0600 <naval> @zooko “There’s really nothing that compares to that feeling…of being a high school dropout and contributing something [significant] to the history of cryptography.”  - Sean Bowe
1519450570473443328 2022-04-28 04:57:00 +0600 <naval> @MewCat42 @Lerninmachine If it’s a monopoly or utility, yes.
1519444277939425280 2022-04-28 04:32:00 +0600 <naval> @Digital67763161 @Lerninmachine @AngelLamuno 👍
1519394439340339200 2022-04-28 01:13:57 +0600 <naval> @Supreme_Owl_FTW 👌
1519383831215673344 2022-04-28 00:31:48 +0600 <naval> Existence itself is magic - the rest is science.
1519365412206481410 2022-04-27 23:18:37 +0600 <naval> @Tinfact1 They’re not monopolies / utilities or the government so of course they can curate. Don’t confuse freedom of association with freedom of speech.
1519364543159316480 2022-04-27 23:15:10 +0600 <naval> @machimanshu091 Valid constraints is just a way of saying “censorship that I approve of.”  We part ways here.
1519364346534539270 2022-04-27 23:14:23 +0600 <naval> @socializ3r Those are already illegal for inciting violence and destroying character. People can and will be sued / arrested over that. No need to create a centralized censorship apparatus.
1519359624264417286 2022-04-27 22:55:37 +0600 <naval> Censorship is a fatal error, as it destroys the means of error correction.
1519099389704237057 2022-04-27 05:41:32 +0600 <naval> @Randell51673568 @ToKTeacher
1519094484482461698 2022-04-27 05:22:03 +0600 <naval> @VaishakhKallat1 It’s sarcasm, read it in context.   But I have to block you for being so quick to jump to name calling.
1518747289111592961 2022-04-26 06:22:25 +0600 <naval> @jorammutenge @elonmusk Well said.
1518648134393499648 2022-04-25 23:48:25 +0600 <naval> @Plinz @normonics Yes like various spam filters and ad blocker plugins.
1518647426181066752 2022-04-25 23:45:36 +0600 <naval> @kiabms5 @BigcoHonis @elonmusk Publish / subscribe of block / mute lists aka pick your own editor. Same for algos (like choosing a spam filter).  Twitter has clearly made political decisions and censored on political grounds.  The power to censor globally is too great and will be abused.
1518639631775899648 2022-04-25 23:14:37 +0600 <naval> @kiabms5 @BigcoHonis @elonmusk I’m using his own words back at him to show they’re meaningless labels and everyone can just accuse each other of spreading misinformation.
1518638620294270976 2022-04-25 23:10:36 +0600 <naval> @skorch__ @elonmusk Not true because there is no objective definition for those labels. Whoever gets to assign the labels is basically m in charge.
1518637088668884999 2022-04-25 23:04:31 +0600 <naval> @Plinz @normonics Yes publish / subscribe block and mute lists aka “pick your own editor.”
1518633505348984833 2022-04-25 22:50:17 +0600 <naval> @BigcoHonis @elonmusk Stop spreading misinformation, you disinformation agent.
1518633250784088064 2022-04-25 22:49:16 +0600 <naval> @SkepticSupreme @elonmusk Supreme Court appointees are increasingly ideological / partisan.   Maintaining a divided government is very important to protect the Constitution.
1518632589304639488 2022-04-25 22:46:38 +0600 <naval> @nevans1991 @elonmusk They don’t. Easy for Twitter to switch away or self host.
1518629257622163456 2022-04-25 22:33:24 +0600 <naval> If @elonmusk manages to liberate Twitter, efforts to control free speech will move to the Apple / Google level, and then to the national level.
1518003748257382401 2022-04-24 05:07:51 +0600 <naval> @AdamSheheeb @WillManidis Brain is a universal computer. It can describe anything that can be described, anything that is a consequence of the laws of physics. It may not simulate at full fidelity but it can describe the underlying explanations / mechanisms.
1517977562881789952 2022-04-24 03:23:48 +0600 <naval> @WillManidis Poorly defined axiom.
1517977336070647808 2022-04-24 03:22:54 +0600 <naval> @signalclean @pmarca Then learn instead of name calling.
1517976613052305408 2022-04-24 03:20:01 +0600 <naval> @WillManidis It’s a universal explainer with an unknown underlying mechanism. It can simulate any activity that a quantum computer can. In that sense “quantum computer” is much closer than previous analogies.
1517975339040837632 2022-04-24 03:14:58 +0600 <naval> @pmarca “Experts” that don’t suffer direct feedback from nature or free markets (“skin in the game”) are university-credentialed activists.
1517317188700540929 2022-04-22 07:39:42 +0600 <naval> @TheJamesFuller @pmarca Learn about network effects and the Section 230 loophole before speaking so confidently.
1517311652034760705 2022-04-22 07:17:42 +0600 <naval> @BryanKeIIy @arrington Yes, he means do not tolerate the people who shut down the means of error correction (stop the censors).
1517252901118353409 2022-04-22 03:24:15 +0600 <naval> @heyellieday Blocking you so that you can next complain that blocking is censorship.
1517224858651877379 2022-04-22 01:32:49 +0600 <naval> A good scare is a great error-correcting mechanism.
1517214948824342530 2022-04-22 00:53:26 +0600 <naval> @benohanlon @IOHK_Josh @6u2m4n Feel free to rewrite it.
1517209372811800576 2022-04-22 00:31:17 +0600 <naval> (Cue the “useful idiots” who support censorship.)
1517208938902659072 2022-04-22 00:29:34 +0600 <naval> @Davret1 Renaming it is just obfuscation.
1517208099773468673 2022-04-22 00:26:14 +0600 <naval> There’s no such thing as true censorship.   Censorship creates two classes - the censors, who get to see everything, and the rest of us, who only get to see and say what they permit.
1516927498646392834 2022-04-21 05:51:13 +0600 <naval> Don’t follow people. Either walk alongside, or not at all.
1516873613609160711 2022-04-21 02:17:06 +0600 <naval> @tnlscott @pmarca @paulg @balajis @spakhm @garrytan My thought exactly.
1516871894514941953 2022-04-21 02:10:16 +0600 <naval> @pmarca @paulg @balajis @spakhm @garrytan Ex-Twitter employee. 🤦🏽‍♂️
1516708344307847168 2022-04-20 15:20:23 +0600 <naval> @drex_jpg Not mine, I was quoting @illacertus
1516707566360969216 2022-04-20 15:17:17 +0600 <naval> @drex_jpg “Life is a single player game.”
1516624224948998149 2022-04-20 09:46:07 +0600 <naval> Bet on the Internet; bet against governments.
1516615610410713093 2022-04-20 09:11:53 +0600 <naval> @morganhousel Black swan catalogue.
1516605531816931330 2022-04-20 08:31:50 +0600 <naval> The best thing about getting older is that you know who you are and you know what you want.
